codigo,nome,arquivo,tem_foto,origem
1001803,Bicicleta Colli Max Boy A.20 S/M Masculino Amarelo Neon D,(placeholder),nao,-
1001801,Bicicleta Colli Spinossauro Aventuras A.16 S/M Mas C Preto Fosco,(placeholder),nao,-
1581,Bicicleta Trup ARO-20 Vermelha,1581.jpg,sim,s9.chianca.net
1004104,Cadeira Secretaria Giratoria,(placeholder),nao,-
1004036,Cadeira de Escritorio Preta,(placeholder),nao,-
1003840,Cadeira de Escritorio Preta Base Cromada Fort T 1050,(placeholder),nao,-
1004056,Cadeira de Escritorio Preta com Base Preta Fo Rtt 1050S,(placeholder),nao,-
1004188,"Cafeteira de Aluminio 1,4 L",(placeholder),nao,-
1004155,Cafeteira de Aluminio 1.5 L,(placeholder),nao,-
400182,Capa Almof Artelasse 30 Cm x 40 Cm 300 Fios C Ordone Cinza,(placeholder),nao,-
400143,Capa Almof Artelasse Ajour Cinza Steel 30X40C M 400 Fios,400143.jpg,sim,s9.chianca.net
400127,Capa Almof Artelasse Cordone Branco 30X40CM 300 F Ios,400127.jpg,sim,s9.chianca.net
400131,Capa Almof Artelasse Cordone Grafite 30X40CM 300 Fios,400131.jpg,sim,s9.chianca.net
400132,Capa Almof Artelasse Cordone Kaki Areia 30X40 Cm 300 Fios,400132.jpg,sim,s9.chianca.net
400154,Capa Almofada 30 Cm x 40 Cm 400 Fios Ajour Branco,400154.jpg,sim,s9.chianca.net
400158,Capa Almofada 30 Cm x 40 Cm 400 Fios Ajour Kaki Camelo,400158.jpg,sim,s9.chianca.net
586,Capa Protetor P/COLCHAO Solteiro,586.jpg,sim,s9.chianca.net
584,Capa Protetor de Malha L P/COLCHAO Casal UNICA.Ea N :7898475583,584.jpg,sim,s9.chianca.net
100572,Capa Queen Lucena Malha Gel 1.60X2M,(placeholder),nao,-
1002586,Capa Travesseiro Plooma Percal 100% Algodao 50X70 So Ft Plooma,1002586.jpg,sim,s9.chianca.net
1003011,Capa de Colchao com Ziper Solteiro,(placeholder),nao,-
1004192,"Capa de Napa Azul 1,90X65X12 Cm",(placeholder),nao,-
1002031,Capa de Solteiro de Colcho Napa,1002031.jpg,sim,s9.chianca.net
688,Capa para Colchão Impermeavel Slep Dray A58X198X40,688.jpg,sim,s9.chianca.net
40086,"Colcha Milao Color Art Lisa Corttex Casal 2,2 0X2,40 SORT-L",40086.jpg,sim,s9.chianca.net
40085,"Colcha Paris Color Art Corttex Casal 2,20 X2, 40 Sortimento",40085.jpg,sim,s9.chianca.net
1001707,Colcha Tekshine Dupla Face Matelasse Solteiro,1001707.jpg,sim,s9.chianca.net
1004174,Conjunto de Copo de Vidro,(placeholder),nao,-
1004187,Escorredor de Arroz,(placeholder),nao,-
7898757624548,Espelho Guarda Roupa Lorena 2 Un (1355-350-3MM),(placeholder),nao,-
1004153,Frigideira,(placeholder),nao,-
1003939,Fronha Soft Cores Diversas 50 x 70,(placeholder),nao,-
1831,Fronha Tekshine Cores Diversas 50 x 70,(placeholder),nao,-
1002122,Grade de Cama Box Ninos Branca Pequena,1002122.jpg,sim,s9.chianca.net
1002123,Grade de Cama Box Ninos Master Grande Branca,(placeholder),nao,-
